,song,lyrics
27,b'RUN D.M.C. - WALK THIS WAY LYRICS',Wasnt me she was foolin
28,b'RUN D.M.C. - WALK THIS WAY LYRICS',When she told me to
29,b'RUN D.M.C. - WALK THIS WAY LYRICS',"Walk this way, talk this way"
30,b'RUN D.M.C. - WALK THIS WAY LYRICS',Little skirts climbin way up the knee
31,b'RUN D.M.C. - WALK THIS WAY LYRICS',There was three young ladies in the school gym locker
0,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Remember Rappin Duke? duh-ha, duh-ha "
1,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"And if you dont know, now you know, nigga"
2,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"50-inch screen, money green leather sofa "
3,b'THE NOTORIOUS B.I.G. - JUICY LYRICS', 
4,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Funkmaster Flex, Lovebug Starski (wassup) "
5,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Got two rides, a limousine with a chauffeur"
6,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',To all the teachers that told me Id never amount to nothing 
7,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"No need to worry, my accountant handles that "
8,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"And she loves to show me off, of course "
9,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Birthdays was the worst days 
10,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"You had a goal, but not that many "
11,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',You know what Im saying 
12,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Dont let em hold you down, reach for the stars "
13,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Spread love, its the Brooklyn way "
14,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Considered a fool cause I dropped out of high school 
15,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Smokin weed and Bambu, sippin on Private Stock "
16,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',You know very well who you are 
17,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',And its still all good 
18,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Uh...and if you dont know, now you know, nigga"
19,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Fuck all yall hoes 
20,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',I let my tape rock til my tape popped 
21,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Its all good baby baby
22,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Yeah, this album is dedicated "
23,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',It was all a dream 
24,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Verse 2] 
25,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Hook]
26,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',And its all
27,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',To up close and personal with Robin Leach 
28,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Now my mom pimps a Ac with minks on her back 
29,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',That called the police on me 
30,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Now they write letters cause they miss me 
31,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Lunches, brunches, interviews by the pool "
32,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',I was too used to packin gats and stuff 
33,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Super Nintendo, Sega Genesis "
34,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',I made the change from a common thief 
35,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',To all the people that lived above the buildings that I was hustling in front of 
36,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',And all the niggas in the struggle 
37,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Smiles every time my face is up in The Source 
38,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Salt n Pepa and Heavy D up in the limousine 
39,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Every Saturday Rap Attack, Mr. Magic, Marley Marl "
40,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Time to get paid, blow up like the World Trade "
41,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"I never thought it could happen, this rappin stuff "
42,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',I used to read Word Up magazine 
43,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Verse 1] 
44,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"No heat, wonder why Christmas missed us "
45,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Get a grip motherfucker 
46,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Peace to Ron G, Brucey B, Kid Capri "
47,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Uh, damn right I like the life I live "
48,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',With the hat to match 
49,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"And Im far from cheap, I smoke skunk with my peeps all day "
50,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"When I was dead broke, man I couldnt picture this "
51,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Born sinner, the opposite of a winner "
52,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',We used to fuss when the landlord dissed us 
53,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Hook] 
54,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',From the Mississippi down to the east coast 
55,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Phone bill about two Gs flat 
56,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Im blowin up like you thought I would 
57,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Cause youre the only one Ill give you good and plenty
58,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Girls used to diss me 
59,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',When I was just trying to make some money to feed my daughter 
60,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Condos in Queens, indo for weeks "
61,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Livin life without fear 
62,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Thinking back on my one-room shack 
63,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Now we sip champagne when we thirst-ay 
64,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Cause I went from negative to positive 
65,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Sold out seats to hear Biggie Smalls speak 
66,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Now Im in the limelight cause I rhyme tight 
67,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',(Its all good)
68,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"...and if you dont know, now you know, nigga "
69,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Call the crib, same number same hood (thats right) "
70,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Stereotypes of a black male misunderstood 
71,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',The Moet and Alizé keep me pissy 
72,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Intro] 
73,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Way back, when I had the red and black lumberjack "
74,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Now honeys play me close like butter play toast 
75,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',[Verse 3]
76,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',You never thought that hip hop would take it this far 
77,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Its all good (its aaalll good) 
78,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Hangin pictures on my wall 
79,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Puttin 5 karats in my baby girls ears 
80,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',"Celebrating every day, no more public housing "
81,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',And my whole crew is lounging 
82,b'THE NOTORIOUS B.I.G. - JUICY LYRICS',Remember when I used to eat sardines for dinner 
0,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Ill take a small piece of some of that funky stuff
1,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Well, Im peepin, and Im creepin, and Im creepin "
2,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","But if I got my nina, then you know Im straight trippin"
3,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Unfadeable, so please dont try to fade this "
4,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""", 
5,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",On what me and my homey Snoop Dogg came to do
6,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",My motherfuckin homie Doggy Dogg has got my back 
7,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Yeah, and you dont stop, I told you Im just like a clock "
8,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Never let me slip, cause if I slip, then Im slippin "
9,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",(City of Compton)
10,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Gotta give em what they want 
11,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","You know, and I know, I flow some old funky shit"
12,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Perfection is perfected, so Ima let em understand "
13,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Death Row, is the label that pays me "
14,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Ready to make an entrance, so back on up "
15,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Its the capital S, oh yes, Im fresh, N double O P "
16,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Cause you know were bout to rip, shit up"
17,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Gettin funky on the mic like a old batch of collard greens 
18,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Showin much flex when its time to wreck a mic 
19,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","To add to my collection, the selection "
20,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","And Ima continue to put the rap down, put the mack down "
21,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Droppin the funky shit thats makin the sucka niggaz mumble 
22,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","And if you bitches talk shit, Ill have to put the smack down "
23,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Its like this, and like that, and like this, and uh "
24,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Always on to the break of dawn, C O M P T O N "
25,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",And thats realer than real deal Holyfield 
26,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Fallin back on that ass with a hellafied gangsta lean 
27,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","  (Hell, yeah)"
28,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Compton and Long Beach together, now you know you in trouble "
29,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Aint no pussy good enough to get burnt while Im up in it
30,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","(Whattup, Dogg?) "
31,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",You never know she could be earnin her man 
32,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",With a producer who can rap and control the maestro 
33,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",You never been on a ride like this befoe 
34,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","(Whats that, G?) "
35,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","And the city they call Long Beach, puttin the shit together "
36,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Gimme the microphone first, so I can bust like a bubble "
37,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","D O double G Y, D O double G, ya see"
38,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Aint nuttin but a G thang, baby, two loced out niggaz  so were crazy "
39,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","But uhh, back to the lecture at hand "
40,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","So, sit back, relax, and strap on your seatbelt"
41,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","So just chill, til the next episode"
42,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","So, Dre "
43,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",And its gotta be bumpin 
44,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Now, its time for me to make my impression felt "
45,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Well, if its good enough to get broke off a proper chunk "
46,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Its where it takes place so when asked, yo attention "
47,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","(Hell, yeah) "
48,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",For some motherfuckin G shit 
49,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",And now you hookers and hoes know how I feel 
50,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",We gotta break em off somethin 
51,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Symbolizes dope, take a toke, but dont choke "
52,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Now, you know I aint with that shit, Lieutenant "
53,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","When Im on the mic, its like a cookie they all crumble"
54,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",A bitch I have to find a contraceptive
55,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Mobbin like a muhfucker but I aint lynchin 
56,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","When I tick and I tock, but Im never off"
57,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Snoop Doggy Dogg and Dr. Dre is at the do 
58,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Dre, creep to the mic like a phantom"
59,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Like this, that, and this, and uh "
60,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",From a young Gs perspective and before me dig out 
61,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",And learnin her man and at the same time burnin her man 
62,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Its like that, and like this, and like that, and uh "
63,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Like my nigga D O C, no one can do it better"
64,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Yeah, and it dont quit, I think they in the mood "
65,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","Its like this, and who gives a fuck about those? "
66,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",At the same time with the dope rhyme that I kick 
67,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Try to get close and your assll get smacked 
68,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","But I damn near got caught, cause my beeper kept beepin "
69,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""",Pimpin hoes and clockin a grip like my name was Dolomite 
70,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","If you do, youll have no clue "
71,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","(Hell, yeah)"
72,"b""DR DRE - NUTHIN' BUT A 'G' THANG LYRICS""","One, two, three and to the fo "
0,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Heres a murder rap to keep ya dancing
1,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Your ass is through.
2,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',3 (Eazy-E)
3,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Just rolling
4,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"Except when I unload. You see, its fun to jump over a hesitation"
5,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',With a gat thats pointed at your ass.
6,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Tell em where ya from
7,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',You think I give a damn about a bitch? I aint a sucker.
8,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Squeeze the trigger
9,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"You too, boy, if you fuck with me"
10,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Dont make me act a motherfucking fool.
11,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Dangerous motherfucker raising hell
12,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Youre the witness of a killing
13,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',And if I ever get caught I make bail.
14,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',And if you ever fuck with me
15,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Niggaz start to mumble
16,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"Attitude legit, cause Im tearing up shit."
17,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',And once youre on the scope
18,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"As I leave, believe Im stomping"
19,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',So when Im in your neighborhood
20,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"See, I dont give a fuck, thats the problem."
21,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',And bodies are hauled off.
22,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',1 (Ice Cube)
23,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Thats taking place without a clue.
24,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"But Im smart, lay low, creep a while"
25,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',But that shows me what youre composed to
26,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Looking for the one they call Eazy
27,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',You are now about to witness the strength of street knowledge.
28,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',But the pussy ass niggaz wont show this.
29,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',For the punk motherfuckers thats showing out
30,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Feel a little gust of wind and Im jetting
31,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Going off on a motherfucker like that
32,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"But when I come back, boy"
33,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"Straight outta Compton, Straight outta Compton"
34,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',More punks I smoke
35,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Mix them and cook them in a pot like Gumbo.
36,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Nigga driving
37,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',But a nigga like Ren is on a gangster tip.
38,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Youll probably get mad like a bitch is supposed to
39,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',So what about the bitch who got shot? Fuck her!
40,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',For any dumb motherfucker that starts static.
41,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Aint no telling when Im down for a jack move.
42,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',The definition is clear
43,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',"See, cause Im the motherfucking villain."
44,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',When Im called off
45,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Wassup?
46,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Yo my rep gets bigger.
47,b'N.W.A. - STRAIGHT OUTTA COMPTON LYRICS',Imma call you a bitch or a dirty ass ho.
