,original,recon,transfer
11,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why should i stand in my way\n', 'and I am a man of dogg so why should i stand in my way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am sorry and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why should i stand in my way\n', 'but i can not help it that i can not take my eyes off of\n']","['if she changes her mind this is the mic word he whatcha def\n', 'i never thought that you would be the mic to funky funky joint\n', 'oh her eyes her eyes make the ladies look then they will mic mic\n', 'and I am a man of cardi so why i should stand in her way\n', 'and I am a man of cardi so why i should stand in her way\n', 'every inch of your smokin is a daytime soul I have got niggaz smokin\n', 'then I am willing to wait for it wait for it straight for mic\n', 'baby I am baby I am def and i do not want to play r\n', 'and i swear by the moon and the stars in the mornin ill be rhyme\n', 'and I am a man of cardi so why i should stand in her way\n', 'but i can not help it that i can not get my muthafuckin off of mic\n']"
12,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why should i stand in no way\n', 'and I am a man of dogg so why should i stand in no way\n', 'every quarter of your skin is a holy heart I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why should i stand in no way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place she whatcha thang\n', 'i never thought that you would be the mic to funky my joint\n', 'oh her eyes her eyes make the wack look that rhyme are mic mic\n', 'and I am a man of bambi so why should i stand in her way\n', 'and I am a man of bambi so why should i stand in her way\n', 'every inch of your skin is a daytime knowledge I have to paid smokin\n', 'then I am willing to wait for it wait for niggaz funky for mic\n', 'baby I am baby I am def and i do not want to thang def\n', 'and i swear by the moon and the stars in the cell rhyme be weasel\n', 'and I am a man of bambi so why should i stand in her way\n', 'but i can not help it that i can not my funky funky on mic joint\n']"
13,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of pimp so why should i stand in her way\n', 'and I am a man of pimp so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of pimp so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place i mic thang\n', 'i never thought that you would be the mic to hold my joint\n', 'oh her eyes her eyes make the wack look rhyme they are mic mic\n', 'and I am a man of nah so why should i stand in her way\n', 'and I am a man of nah so why should i stand in her way\n', 'every inch of your skin is a daytime knowledge I going to paid to\n', 'then I am willing to wait for it wait for niggaz rhyme mic rhyme\n', 'baby I am baby I am def and i do not want to thang smokin\n', 'and i swear by the course and the stars in the mornin ill be there\n', 'and I am a man of nah so why should i stand in her way\n', 'but i can not help it that i can not take the thang off of rhyme\n']"
14,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of niggaz so why should i stand in her way\n', 'and I am a man of niggaz so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of niggaz so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place it whatcha thang\n', 'i never thought that you would be the mic to drive my joint\n', 'oh her eyes e eyes make the wack look like they are not <unk>\n', 'and I am a man of admit so why should i stand in her way\n', 'and I am a man of admit so why should i stand in her way\n', 'every inch of your skin is a daytime knowledge have mic got niggaz jam\n', 'then I am tryin to wait for it wait for niggaz muthafuckin mic mic\n', 'baby I am baby I am def and i do not want to thang smokin\n', 'and i swear by the course and the stars in the mornin rhyme be jam\n', 'and I am a man of admit so why should i stand in her way\n', 'but i can not help it that i can not take your muthafuckin on mic mic\n']"
15,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of dogg so why should i stand in her way\n', 'and I am a man of dogg so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of dogg so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place niggaz mic smokin\n', 'i never thought that you would be the mic to hold funky joint\n', 'oh her eyes her eyes make the wack look rock they whatcha mic mic\n', 'and I am a man of ayy so nobody should i stand in her way\n', 'and I am a man of ayy so nobody should i stand in her way\n', 'every brave of your skin is a school knowledge I whatcha to paid find\n', 'then I am tryin to wait for it wait smokin niggaz smokin smokin opp\n', 'baby I am baby I am def and i do not niggaz to smokin smokin\n', 'and i swear by the moon and the stars in the mornin rhyme be jam\n', 'and I am a man of ayy so nobody should i stand in her way\n', 'but i can not help it that i can not not thang compton jam smokin wack\n']"
16,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of mic so why should i stand in her way\n', 'and I am a man of mic so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of mic so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she whatcha smokin\n', 'i never thought that you would be the mic to muthafuckin my mic\n', 'oh her eyes e eyes make the wack look like kane are mic <unk>\n', 'and I am a man of ayy so why should i stand in her way\n', 'and I am a man of ayy so why should i stand in her way\n', 'every inch of your skin is a slick knowledge I have got to find\n', 'then I am tryin to wait for it wait for niggaz muthafuckin for niggaz\n', 'baby I am baby I am def and i do not jam to thang smokin\n', 'and i swear by the course and the stars in the bass rhyme be there\n', 'and I am a man of ayy so why should i stand in her way\n', 'but i can not help it that i can not a thang funky jam on mic mic\n']"
17,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of mic so why should i stand in her way\n', 'and I am a man of mic so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of mic so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she whatcha smokin\n', 'i never thought that you would be the mic to opened my joint\n', 'oh her eyes her eyes make the wack look smokin thang are mic <unk>\n', 'and I am a man of ayy so why should i stand in her way\n', 'and I am a man of ayy so why should i stand in her way\n', 'every inch of your skin is a motor knowledge I got got smokin jam\n', 'then I am tryin to wait for it wait for niggaz wit for mic\n', 'baby I am baby I am sucker and i do not want to thang r\n', 'and i swear by the course and the stars in the cell rhyme squad there\n', 'and I am a man of ayy so why should i stand in her way\n', 'but i can not help it that i can not take your thang off mic mic\n']"
18,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of mic so why should i stand in her way\n', 'and I am a man of mic so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play ooh\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of mic so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place we whatcha smokin\n', 'i never thought that you would be the mic jam funky mic mic\n', 'oh her eyes her eyes make the muthafuckin dogg smokin mic mic mic mic\n', 'and I am a man of ayy so why should i stand in nope way\n', 'and I am a man of ayy so why should i stand in nope way\n', 'every inch of your smokin is a daytime knowledge I have got niggaz funky\n', 'then I am tryin to wait for it wait for niggaz muthafuckin mic mic\n', 'baby I am baby I am happy and i do not want to bounce smokin\n', 'and i swear by the moon and the stars in the mornin mic it story\n', 'and I am a man of ayy so why should i stand in nope way\n', 'but i can not help it that i can not take the thang on mic mic\n']"
19,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of mic so why should i stand in her way\n', 'and I am a man of mic so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of mic so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the mic place shorty whatcha shorty shorty\n', 'i never thought that you would be the mic to compton my mic\n', 'oh her eyes her eyes make the wack look smokin thang are mic mic\n', 'and I am a man of nah so why should i stand in nope\n', 'and I am a man of nah so why should i stand in nope\n', 'every brave of your skin is a fat thang I have got to niggaz\n', 'then I am tryin to wait for it wait for niggaz funky mic mic\n', 'baby I am baby I am def and i do not want to play r\n', 'and i swear by the moon and the stars in the bass rhyme be there\n', 'and I am a man of nah so why should i stand in nope\n', 'but i can not help it that i can not take the thang off of mic mic\n']"
20,"['if she changes her mind this is the first place she will go', 'i never thought that you would be the one to hold my heart', 'oh her eyes her eyes make the stars look like they are not shinin', 'and I am a man of expanding so why should i stand in her way', 'and I am a man of expanding so why should i stand in her way', 'every inch of your skin is a holy gray I have got to find', 'then I am willing to wait for it wait for it wait for it', 'baby I am baby I am hurt and i do not want to play anymore', 'and i swear by the moon and the stars in the sky ill be there', 'and I am a man of expanding so why should i stand in her way', 'but i can not help it that i can not take my eyes off of you']","['if she changes her mind this is the first place she will go\n', 'i never thought that you would be the one to hold my heart\n', 'oh her eyes her eyes make the stars look like they are not <unk>\n', 'and I am a man of mic so why should i stand in her way\n', 'and I am a man of mic so why should i stand in her way\n', 'every inch of your skin is a holy gray I have got to find\n', 'then I am willing to wait for it wait for it wait for it\n', 'baby I am baby I am hurt and i do not want to play anymore\n', 'and i swear by the moon and the stars in the sky ill be there\n', 'and I am a man of mic so why should i stand in her way\n', 'but i can not help it that i can not take my eyes off of you\n']","['if she changes her mind this is the first place she whatcha horny\n', 'i never thought that you would be the mic to funky mic\n', 'oh her eyes her eyes make the hood look niggaz mic mic mic mic\n', 'and I am a man of ayy so why should i stand in her way\n', 'and I am a man of ayy so why should i stand in her way\n', 'every boo of your skin is a slick knowledge I going got to niggaz\n', 'then I am tryin to wait for it wait for niggaz funky niggaz mic mic\n', 'baby I am baby I am def and i do not want to smokin def\n', 'and i swear by the course and the stars in the cell rhyme just niggaz\n', 'and I am a man of ayy so why should i stand in her way\n', 'but i can not help it that i can not hit funky funky funky mic mic mic\n']"
