,epoch,id,original,reconstruct,transfer
8,9,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,9,9,and I am a man of expanding so why should i stand in her way,"and I am a man of dudes so why should you stand in her way
","and I am a man of dudes so why should you stand in her way
"
10,9,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,10,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,10,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,10,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,10,3,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of dudes so why should i stand in her way
"
4,10,4,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of dudes so why should i stand in her way
"
5,10,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy yuh I have got to find
","every inch of your skin is a holy uhh I have got to find
"
6,10,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,10,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,10,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,10,9,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of dudes so why should i stand in her way
"
10,10,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,11,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first title she will paid
"
1,11,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to plan my dad
"
2,11,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not makeup
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,11,3,and I am a man of expanding so why should i stand in her way,"and I am a man of shit so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
4,11,4,and I am a man of expanding so why should i stand in her way,"and I am a man of shit so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
5,11,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy beating I have got to find
","every mcs of your slick is a level mic who have got to find
"
6,11,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it paper for it
","then I am skirts to wait for it wait for it um for it
"
7,11,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to run anymore
","baby I am baby I am hurt and i do not paid to boo mic
"
8,11,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in la sky ill be there
","and i swear by the moon and the stars in the style ill be there
"
9,11,9,and I am a man of expanding so why should i stand in her way,"and I am a man of shit so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
10,11,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not get my dough off of course
"
0,12,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place we will go
","if she changes her mind this is the first place we will go
"
1,12,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to maintain my motherfucker
"
2,12,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the ice look like they are not <unk>
"
3,12,3,and I am a man of expanding so why should i stand in her way,"and I am a man of biggie so why should ever stand his way
","and I am a man of shawty so why should ever stand in her way
"
4,12,4,and I am a man of expanding so why should i stand in her way,"and I am a man of biggie so why should ever stand his way
","and I am a man of shawty so why should ever stand in her way
"
5,12,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy nope I have got to find
","every dude of your skin is a bum title is going got to find
"
6,12,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait at it wait for it
","then I am skirts to wait for it wait at it um for it
"
7,12,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to boo um
"
8,12,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the ice in the style ill only slap
"
9,12,9,and I am a man of expanding so why should i stand in her way,"and I am a man of biggie so why should ever stand his way
","and I am a man of shawty so why should ever stand in her way
"
10,12,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take your dough out of you
"
0,13,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,13,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the motherfucker to maintain your motherfucker
"
2,13,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,13,3,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
4,13,4,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
5,13,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a pink beating I have got to find
","every mcs of your brothers is a dandy uhh I have got to find
"
6,13,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am skirts to wait for it wait for it um for it
"
7,13,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not slap to boo mic
"
8,13,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the short in the style ill be there
"
9,13,9,and I am a man of expanding so why should i stand in her way,"and I am a man of nana so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
10,13,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can make yourself about dough unaware
"
0,14,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place we will go
","if she changes her mind this is the first place is boogie choke
"
1,14,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to maintain niggaz um
"
2,14,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","um her eyes her eyes make the stars look like they are not <unk>
"
3,14,3,and I am a man of expanding so why should i stand in her way,"and I am a man of slim so why why i stand in his way
","and I am a man of yours so why should i stand in her way
"
4,14,4,and I am a man of expanding so why should i stand in her way,"and I am a man of slim so why why i stand in his way
","and I am a man of yours so why should i stand in her way
"
5,14,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy beating I have got to find
","every dude of your slick is a bum uhh is going got to find
"
6,14,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am dogg to wait for it um for it um for it
"
7,14,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am woman and i do not want to choke choke
"
8,14,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the chase and the stars in the legend ill be niggaz
"
9,14,9,and I am a man of expanding so why should i stand in her way,"and I am a man of slim so why why i stand in his way
","and I am a man of yours so why should i stand in her way
"
10,14,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not hit the playa step of motherfucker
"
0,15,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the maintain bum niggaz daughter live
"
1,15,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you boogie be the one to maintain niggaz
"
2,15,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","um her eyes her eyes make the stars look like they are not <unk>
"
3,15,3,and I am a man of expanding so why should i stand in her way,"and I am a man of thug so why should i stand in her way
","and I am a man of else so why should i stand in love
"
4,15,4,and I am a man of expanding so why should i stand in her way,"and I am a man of thug so why should i stand in her way
","and I am a man of else so why should i stand in love
"
5,15,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy yuh I have got for find
","every mcs of your posse is a bum uhh I have got for find
"
6,15,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am dogg to wait for it wait for motherfucker um nuts bum
"
7,15,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am students I am dre and i boogie paid paid to choke bum
"
8,15,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the d and the ice in the legend ill be life
"
9,15,9,and I am a man of expanding so why should i stand in her way,"and I am a man of thug so why should i stand in her way
","and I am a man of else so why should i stand in love
"
10,15,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not maintain boo boogie boo boo boogie
"
0,16,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place we will go
","if she changes her mind this is the first place we slap paid
"
1,16,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to maintain niggaz relax
"
2,16,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,16,3,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
4,16,4,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
5,16,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy franchise I have got to find
","every dude of your mcs is a bum pimp I am got to find
"
6,16,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am skirts to wait for it wait to um um unaware
"
7,16,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am fuck and i do not slap to choke maintain
"
8,16,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the d and the stars in the legend ill be niggaz
"
9,16,9,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should i stand in her way
","and I am a man of yours so why should i stand in her way
"
10,16,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take your party off or niggaz
"
0,17,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,17,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to rhyme boo niggaz
"
2,17,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not makeup
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,17,3,and I am a man of expanding so why should i stand in her way,"and I am a man of thugs so why should i stand in her way
","and I am a man of nights so why should i stand in her way
"
4,17,4,and I am a man of expanding so why should i stand in her way,"and I am a man of thugs so why should i stand in her way
","and I am a man of nights so why should i stand in her way
"
5,17,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy nope I have got to find
","every mcs of your mcs is a bum nut I have got to find
"
6,17,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am skirts to wait for it wait for it um for it
"
7,17,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am dre and i do not want to boo mic
"
8,17,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the d and the short in the d ill be niggaz
"
9,17,9,and I am a man of expanding so why should i stand in her way,"and I am a man of thugs so why should i stand in her way
","and I am a man of nights so why should i stand in her way
"
10,17,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take your dough boo rhyme knowledge
"
0,18,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the closet magazines we boogie loot
"
1,18,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to maintain bum niggaz
"
2,18,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the streets look like they are not <unk>
"
3,18,3,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why should i stand in her way
","and I am a man of hangover so why should i stand in her way
"
4,18,4,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why should i stand in her way
","and I am a man of hangover so why should i stand in her way
"
5,18,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy franchise I have got to find
","every mcs of your posse is a bum cos I have got to find
"
6,18,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am boogie to um for it um for it unaware to nuts
"
7,18,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am unaware I am murder and i do not choke to boo mic
"
8,18,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the d and the club in the style boogie be niggaz motherfucker unaware niggaz
"
9,18,9,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why should i stand in her way
","and I am a man of hangover so why should i stand in her way
"
10,18,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not get boo dough boo all niggaz
"
0,19,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the boogie wack niggaz moms slap
"
1,19,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one boogie maintain niggaz joint
"
2,19,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her boogie make the streets look like they are not <unk>
"
3,19,3,and I am a man of expanding so why should i stand in her way,"and I am a man of dogg so why should i stand in her way
","and I am a man of grandpa so why should i stand in her way
"
4,19,4,and I am a man of expanding so why should i stand in her way,"and I am a man of dogg so why should i stand in her way
","and I am a man of grandpa so why should i stand in her way
"
5,19,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy yuh I have got to find
","every mcs of your mcs is a bum cos I have got to find
"
