,epoch,id,original,reconstruct,transfer
7,2,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am willing and i do not want to play anymore
","baby I am baby I am hopin and i do not want to play bail
"
8,2,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the land the step of ill be there
"
9,2,9,and I am a man of expanding so why should i stand in her way,"and I am a man of fly so why I am runnin in her mood
","and I am a man of mama so why I am its up in it
"
10,2,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my arms on you all
","but i can not help it that i can not take my pockets on you all
"
0,3,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,3,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,3,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,3,3,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so we do you stand into pieces
","and I am a man of survival so why I am not up in ya
"
4,3,4,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so we do you stand into pieces
","and I am a man of survival so why I am not up in ya
"
5,3,5,every inch of your skin is a holy gray I have got to find,"every rivers of your skin is a empty scar I have got to find
","every dons of your skin is a bloody rat I have got to find
"
6,3,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,3,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play
","baby I am baby I am hurt and i do not want for fade
"
8,3,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the party you be done
"
9,3,9,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so we do you stand into pieces
","and I am a man of survival so why I am not up in ya
"
10,3,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on you
","but i can not help it that i can not take my ass on you
"
0,4,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,4,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,4,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,4,3,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why I never caught in her way
","and I am a man of temptation so why I have always in no way
"
4,4,4,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why I never caught in her way
","and I am a man of temptation so why I have always in no way
"
5,4,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy vacation I have got to find
","every dons of your skin is a bloody uhuh I have got to find
"
6,4,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,4,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play em
"
8,4,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky you be there
"
9,4,9,and I am a man of expanding so why should i stand in her way,"and I am a man of opp so why I never caught in her way
","and I am a man of temptation so why I have always in no way
"
10,4,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on all you
","but i can not help it that i can not take it coming on all times
"
0,5,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,5,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,5,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,5,3,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why I must stand in her way
","and I am a man of temptation so why I could stand in her way
"
4,5,4,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why I must stand in her way
","and I am a man of temptation so why I could stand in her way
"
5,5,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy jet I have got to find
","every inch of your skin is a holy old I could have to find
"
6,5,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,5,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,5,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky you be truly
"
9,5,9,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why I must stand in her way
","and I am a man of temptation so why I could stand in her way
"
10,5,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take it wide back of you
","but i can not help it that i can not take it ill coming of you
"
0,6,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,6,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,6,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,6,3,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why should i stand in her way
","and I am a man of temptation so why I could stand in her way
"
4,6,4,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why should i stand in her way
","and I am a man of temptation so why I could stand in her way
"
5,6,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy jet I have got to find
","every inch of your skin is a holy security I have got to find
"
6,6,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,6,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,6,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,6,9,and I am a man of expanding so why should i stand in her way,"and I am a man of fa so why should i stand in her way
","and I am a man of temptation so why I could stand in her way
"
10,6,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,7,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,7,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,7,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,7,3,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of dey so why should i stand in her way
"
4,7,4,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of dey so why should i stand in her way
"
5,7,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy drug I have got to find
","every inch of your skin is a holy security I have got to find
"
6,7,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,7,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,7,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill a still
"
9,7,9,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of dey so why should i stand in her way
"
10,7,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,8,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,8,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,8,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,8,3,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of cotton so why should i stand in her way
"
4,8,4,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of cotton so why should i stand in her way
"
5,8,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy gray I have got to find
","every inch of your skin is a holy uncle I have got to find
"
6,8,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,8,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,8,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,8,9,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should i stand in her way
","and I am a man of cotton so why should i stand in her way
"
10,8,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,9,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,9,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,9,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,9,3,and I am a man of expanding so why should i stand in her way,"and I am a man of lightning so why should i stand in her way
","and I am a man of matters so why should i stand in her way
"
4,9,4,and I am a man of expanding so why should i stand in her way,"and I am a man of lightning so why should i stand in her way
","and I am a man of matters so why should i stand in her way
"
5,9,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy gray I have got to find
","every inch of your skin is a holy gray I have got to find
"
6,9,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,9,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,9,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,9,9,and I am a man of expanding so why should i stand in her way,"and I am a man of lightning so why should i stand in her way
","and I am a man of matters so why should i stand in her way
"
10,9,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,10,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,10,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my heart
"
2,10,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,10,3,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should you stand in her way
","and I am a man of digging so why should you stand in her way
"
4,10,4,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should you stand in her way
","and I am a man of digging so why should you stand in her way
"
5,10,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy drug I have got to find
","every inch of your skin is a holy drug should do got to find
"
6,10,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am willing to wait for it wait for it wait for it
"
7,10,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am baby I am hurt and i do not want to play anymore
"
8,10,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be there
"
9,10,9,and I am a man of expanding so why should i stand in her way,"and I am a man of stud so why should you stand in her way
","and I am a man of digging so why should you stand in her way
"
10,10,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my eyes off of you
"
0,11,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she man her mind this is the first place she boogie boogie
"
1,11,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my slick
"
2,11,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not endlessly
","oh her eyes her eyes make the word look like they are not <unk>
"
3,11,3,and I am a man of expanding so why should i stand in her way,"and I am a man of mama so why should i be up in us
","and I am a man of reaching so why should i be up in nothing
"
4,11,4,and I am a man of expanding so why should i stand in her way,"and I am a man of mama so why should i be up in us
","and I am a man of reaching so why should i be up in nothing
"
5,11,5,every inch of your skin is a holy gray I have got to find,"every or of your closest is a many closest should have born to find
","every inch of your skin is a few ears try i got to find
"
6,11,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am missed to wait for it wait for it wait for it
"
7,11,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am doll I am hurt and i do not want to play
"
8,11,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the sky ill be devastating
"
9,11,9,and I am a man of expanding so why should i stand in her way,"and I am a man of mama so why should i be up in us
","and I am a man of reaching so why should i be up in nothing
"
10,11,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on me you
","but i can not help it that i can not take my conscious off of you
"
0,12,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first part she will go
","if she changes her mind this is the first place she will doll
"
1,12,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that doll would be the one to hold my slick
"
2,12,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not endlessly
","oh she doll her eyes make the stars comes like they are not <unk>
"
3,12,3,and I am a man of expanding so why should i stand in her way,"and I am a man of mommy so why should probably get in her motherfucker
","and I am a man of reaching are why i meant ever in the way
"
4,12,4,and I am a man of expanding so why should i stand in her way,"and I am a man of mommy so why should probably get in her motherfucker
","and I am a man of reaching are why i meant ever in the way
"
5,12,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy glass I have got to find
","every doll of your vocal is a few ears I get got to find
"
6,12,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am custom to wait for it wait for it motherfucker for it
"
7,12,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","doll I am doll I am cam and i do not want to play mom
"
8,12,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the north not devastating
"
9,12,9,and I am a man of expanding so why should i stand in her way,"and I am a man of mommy so why should probably get in her motherfucker
","and I am a man of reaching are why i meant ever in the way
"
10,12,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on of you
","but probably can not help shit that i can not take my doll bought of doll
"
0,13,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she daughter her mind this is the first place she will go
"
1,13,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that doll would be the one to play my slick
"
2,13,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not endlessly
","oh she eyes her eyes make the o look like people are not <unk>
"
3,13,3,and I am a man of expanding so why should i stand in her way,"and I am a daughter of freak so why should i stand on the possible
","and I am a moving laying matters are why I i stand in every way
"
4,13,4,and I am a man of expanding so why should i stand in her way,"and I am a daughter of freak so why should i stand on the possible
","and I am a moving laying matters are why I i stand in every way
"
5,13,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy drug I have got to find
","every slick of your vocal is a few uncle I have got to find
"
6,13,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am skills to wait for it wait for good motherfucker for it
"
7,13,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play ?
","baby I am doll I am used and i do not want to bail nigga
"
8,13,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the rhythm and the stars in the suckers ill be there
"
9,13,9,and I am a man of expanding so why should i stand in her way,"and I am a daughter of freak so why should i stand on the possible
","and I am a moving laying matters are why I i stand in every way
"
10,13,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my time on of you
","but i can not help it that i can not take my rhyme at age you
"
0,14,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she changes her mind this is the first place she will go
"
1,14,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to hold my slick
"
2,14,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not endlessly
","oh her niggaz her eyes make the stars look like they are not <unk>
"
3,14,3,and I am a man of expanding so why should i stand in her way,"and I am a man of busta so why should i be up in loot
","and I am a man of reaching so why should i be up on us
"
4,14,4,and I am a man of expanding so why should i stand in her way,"and I am a man of busta so why should i be up in loot
","and I am a man of reaching so why should i be up on us
"
5,14,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy evil I have got to find
","every thugs of your <unk> is a like crack bums came got to heat
"
6,14,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am fiend to wait for it wait for funny trash for it
"
7,14,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am doll I am niggaz and i do not want to nap sick
"
8,14,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the cars ill be ?
"
9,14,9,and I am a man of expanding so why should i stand in her way,"and I am a man of busta so why should i be up in loot
","and I am a man of reaching so why should i be up on us
"
10,14,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on of you
","but i can not help it that i can not take my doll trash of doll
"
0,15,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she listens her mind this is the first place she will go
"
1,15,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that doll would be the one to play my slick
"
2,15,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not dry
","oh her eyes her eyes make the stars look like they can not <unk>
"
3,15,3,and I am a man of expanding so why should i stand in her way,"and I am a man of loot so why should i stand up the way
","and I am a man of ours so why i i stand in every way
"
4,15,4,and I am a man of expanding so why should i stand in her way,"and I am a man of loot so why should i stand up the way
","and I am a man of ours so why i i stand in every way
"
5,15,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy niggas I ever got to find
","every slick of your vocal is a holy brothers I could got to find
"
6,15,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am loot to wait for it wait for it wait for it
"
7,15,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to waste anymore
","doll I am doll I am hurt and i do not want to play mom
"
8,15,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the p in the suckers i be there
"
9,15,9,and I am a man of expanding so why should i stand in her way,"and I am a man of loot so why should i stand up the way
","and I am a man of ours so why i i stand in every way
"
10,15,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on me you
","but i can not doll it that i can not take my rhyme off over doll like
"
0,16,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she family her rhyme this is the first place she will doll go
"
1,16,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that doll would be the one to rhyme my slick
"
2,16,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her doll make the motherfucker freedom like they are not <unk>
"
3,16,3,and I am a man of expanding so why should i stand in her way,"and I am a man of humpty so why should you be up the game
","and I am a man of dove so why should i stand in every way
"
4,16,4,and I am a man of expanding so why should i stand in her way,"and I am a man of humpty so why should you be up the game
","and I am a man of dove so why should i stand in every way
"
5,16,5,every inch of your skin is a holy gray I have got to find,"every laying of your skin is a holy skin I have got to find
","every slick of your visit is a like uncle I could got to find
"
6,16,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am um to wait for it wait for it wait for it
"
7,16,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","doll I am doll I am hurt and i do not want to play bury
"
8,16,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i rob by the club and the stars in the b ill be ?
"
9,16,9,and I am a man of expanding so why should i stand in her way,"and I am a man of humpty so why should you be up the game
","and I am a man of dove so why should i stand in every way
"
10,16,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes at of you
","but i can not help it that i can not take my slick t cheese doll doll
"
0,17,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she said her rhyme this is the first place she will go
"
1,17,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the rhyme to play my slick
"
2,17,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her eyes her eyes make the stars look like they are not <unk>
"
3,17,3,and I am a man of expanding so why should i stand in her way,"and I am a man of luke so why should i stand in tv way
","and I am a man of reaching so why should never stand in her way
"
4,17,4,and I am a man of expanding so why should i stand in her way,"and I am a man of luke so why should i stand in tv way
","and I am a man of reaching so why should never stand in her way
"
5,17,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy evil I have got to find
","every livin of your vocal is a total uncle I have got to find
"
6,17,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am fiend to wait at it wait for it wait for it
"
7,17,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","baby I am doll I am niggaz as i do not doll make crack muthafuckin
"
8,17,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the suckers ill be there
"
9,17,9,and I am a man of expanding so why should i stand in her way,"and I am a man of luke so why should i stand in tv way
","and I am a man of reaching so why should never stand in her way
"
10,17,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes on of you
","but i can not jam it that i can not take my rhyme off of doll
"
0,18,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she party her rhyme this is the first place she doll doll
"
1,18,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that you would be the one to rhyme slick slick
"
2,18,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her doll her doll make the word freedom raw like they not cheese
"
3,18,3,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should you stand in her way
","and I am a man with lifes so why should you stand in her way
"
4,18,4,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should you stand in her way
","and I am a man with lifes so why should you stand in her way
"
5,18,5,every inch of your skin is a holy gray I have got to find,"every laying of your skin is a holy niggas I have got to find
","every doll of your visit is a my glass person have got to find
"
6,18,6,then I am willing to wait for it wait for it wait for it,"then I am willing to wait for it wait for it wait for it
","then I am mic to wait for it wait for slick delight for doll
"
7,18,7,baby I am baby I am hurt and i do not want to play anymore,"baby I am baby I am hurt and i do not want to play anymore
","doll I am doll I am goin and i do not want for tape dollars
"
8,18,8,and i swear by the moon and the stars in the sky ill be there,"and i swear by the moon and the stars in the sky ill be there
","and i swear by the moon and the stars in the wishin ill be there
"
9,18,9,and I am a man of expanding so why should i stand in her way,"and I am a man of jeans so why should you stand in her way
","and I am a man with lifes so why should you stand in her way
"
10,18,10,but i can not help it that i can not take my eyes off of you,"but i can not help it that i can not take my eyes off of you
","but i can not help it that i can not take my rhyme dollars home you doll
"
0,19,0,if she changes her mind this is the first place she will go,"if she changes her mind this is the first place she will go
","if she listens her rhyme this is the first place she will boogie
"
1,19,1,i never thought that you would be the one to hold my heart,"i never thought that you would be the one to hold my heart
","i never thought that doll would be the one doll jam devastating slick
"
2,19,2,oh her eyes her eyes make the stars look like they are not shinin,"oh her eyes her eyes make the stars look like they are not <unk>
","oh her slick her doll make the motherfucker look like they are not <unk>
"
3,19,3,and I am a man of expanding so why should i stand in her way,"and I am a man of stan so why should i stand in her way
","and I am a man of reaching so why I i stand in her way
"
4,19,4,and I am a man of expanding so why should i stand in her way,"and I am a man of stan so why should i stand in her way
","and I am a man of reaching so why I i stand in her way
"
5,19,5,every inch of your skin is a holy gray I have got to find,"every inch of your skin is a holy glass I have got to find
","every slick of your visit is a holy uncle I have got to find
"
